symbol,market,sector,pe,div,de,npm,roe
2S,SET,STEEL,47.97,8.03,0.09,-4.1,1.6
A5,SET,PROP,4.69,1.99,1.08,32,43.53
AAI,SET,FOOD,12.68,3.87,0.16,15.16,20.62
ACG,SET,AUTO,28.16,1.46,0.76,1.26,2.78
ADD,mai,SERVICE,17.14,3.65,0.14,13.84,8.37
ADVANC,SET,ICT,25.28,3.09,3.87,16.8,38.25
ADVICE,SET,COMM,16.97,1.2,2.3,1.66,35.59
AEONTS,SET,FIN,9.62,4.55,2.88,14.38,12.57
AH,SET,AUTO,6.5,11.77,1.07,3.05,7.23
AHC,SET,HELTH,13.58,4.12,0.18,12.72,8.2
AI,SET,ENERG,8.35,5.59,0.2,5.1,13.42
AIT,SET,ICT,10.83,7.52,0.67,7.84,14.59
AKR,SET,IMM,5.59,8.42,0.67,11.5,16.78
ALLA,SET,IMM,7.46,7.74,0.24,16.03,13.66
ALUCON,SET,PKG,11.66,4.64,0.14,2.67,9.61
AMA,mai,SERVICE,6.69,9.57,0.56,7.94,11.2
AMANAH,SET,FIN,43.89,1.39,1.41,5.47,1.5
AMARC,mai,SERVICE,18.18,2.98,0.25,16,5.85
AMARIN,SET,MEDIA,27.66,5.7,0.32,0.6,2.48
AMATA,SET,PROP,15.03,2.32,1.41,22.74,10.4
AMATAV,SET,PROP,21.74,0.23,1.32,-13.53,4.5
AMC,SET,STEEL,5.28,6.79,0.5,0.72,7.77
ANI,SET,TRANS,10.84,1.29,0.26,8.37,10.55
AOT,SET,TRANS,44.13,1.33,0.63,27.76,16.18
AP,SET,PROP,5.16,8.43,0.98,14.21,12.38
APCO,SET,PERSON,46.8,3.63,0.15,22.72,11.18
APP,mai,TECH,13.68,8.98,1.46,9.27,9.54
APURE,SET,FOOD,13.16,7.5,0.17,9.17,11.62
ARIP,mai,SERVICE,25.88,3.84,0.18,3.73,4.51
ARROW,mai,PROPCON,11.44,6.36,0.3,12.37,9.92
ASEFA,SET,IMM,20.06,6.01,0.91,2.78,4.89
ASIAN,SET,FOOD,8.13,4.54,0.15,11.53,13
ASIMAR,SET,TRANS,8.84,5.03,1.04,6.71,10.86
ASK,SET,FIN,11.08,11.6,6.24,3.73,4.56
ASP,SET,FIN,13.92,7.56,2.07,14.06,7.47
ASW,SET,PROP,4.06,3.1,2.49,14.89,25.94
ATP30,mai,SERVICE,15.79,2,1.28,6.6,8.29
AU,mai,AGRO,33.28,2,0.41,19.27,26.31
