date,open,high,low,close,val,closing_range,chg
2024-01-02,1415.70 ,1434.21 ,1413.57 ,1433.38 ,43272048.00 ,95.98%,1.24%
2024-01-03,1431.88 ,1436.38 ,1426.45 ,1429.62 ,45241990.00 ,31.92%,-0.26%
2024-01-04,1427.98 ,1435.30 ,1420.74 ,1434.59 ,47635807.00 ,95.12%,0.35%
2024-01-05,1434.61 ,1437.84 ,1425.84 ,1427.96 ,51141318.00 ,17.67%,-0.46%
2024-01-08,1426.95 ,1428.06 ,1413.86 ,1418.45 ,42143306.00 ,32.32%,-0.67%
2024-01-09,1427.51 ,1428.44 ,1414.42 ,1414.93 ,42573954.00 ,3.64%,-0.25%
2024-01-10,1416.03 ,1418.33 ,1410.21 ,1413.52 ,45490340.00 ,40.76%,-0.10%
2024-01-11,1417.30 ,1417.64 ,1407.26 ,1408.24 ,35536608.00 ,9.44%,-0.37%
2024-01-12,1407.95 ,1416.33 ,1407.77 ,1413.53 ,40236014.00 ,67.29%,0.38%
2024-01-15,1415.63 ,1416.01 ,1404.81 ,1407.02 ,32633348.00 ,19.73%,-0.46%
2024-01-16,1406.11 ,1407.08 ,1399.85 ,1401.72 ,39472358.00 ,25.86%,-0.38%
2024-01-17,1397.05 ,1397.05 ,1378.91 ,1380.65 ,56707526.00 ,9.59%,-1.50%
2024-01-18,1382.34 ,1387.53 ,1374.08 ,1377.93 ,50984232.00 ,28.62%,-0.20%
2024-01-19,1384.84 ,1389.26 ,1378.28 ,1382.51 ,49266197.00 ,38.52%,0.33%
2024-01-22,1383.42 ,1383.51 ,1369.42 ,1369.92 ,51505587.00 ,3.55%,-0.91%
2024-01-23,1375.39 ,1375.60 ,1353.29 ,1356.54 ,48620695.00 ,14.57%,-0.98%
2024-01-24,1356.98 ,1382.80 ,1354.98 ,1381.19 ,53663992.00 ,94.21%,1.82%
2024-01-25,1377.47 ,1379.15 ,1370.78 ,1376.09 ,41095375.00 ,63.44%,-0.37%
2024-01-26,1375.76 ,1379.89 ,1364.41 ,1368.15 ,48277686.00 ,24.16%,-0.58%
